"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Advance_Rate__c","LLC_BI__Auto_Update_Collateral_Value__c","LLC_BI__Category__c","LLC_BI__Collateral_Code__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Collateral_Display_Name__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Group_Type__c","LLC_BI__Highest_Type__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Leasing_Screen__c","LLC_BI__Manufactured_Home__c","LLC_BI__Parent_Type__c","LLC_BI__Primary_Valuation_Sources__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Screen__c","LLC_BI__Start_Date__c","LLC_BI__Type__c","LLC_BI__Valuation_Field_Set__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","LLC_BI__lookupKey__c","LLC_BI__Active__c","LLC_BI__Subtype__c","nCinoCB__Classification__c"
"a1lWD0000017KcXYAU","005al00000Q6IbCAAV","false","Other-Intellectual Property","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42385715917275967"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42385715917275967"",""copyCollateralScreen"":""42385715917275967"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42385715917275967"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","#62b7ed","#ffffff","standard/work_order","false","a0sWD00000XnsduYAB","false","","Internal Valuation;Third Party Source;Valuation Service Vendor","","a0sWD00000XnsdrYAB","2023-03-19","Other","","","","008850b7-a600-564e-9410-c7186bd9215e","true","Intellectual Property",""
"a1lWD0000017KcYYAU","005al00000Q6IbCAAV","false","Titled-Vessel","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42193338758163888"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42193338758163888"",""copyCollateralScreen"":""42193338758163888"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42193338758163888"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","Ba202E","fff","custom/custom31","false","a0sWD00000XnsduYAB","false","","Internal Valuation;Invoice / Bill of Sale;Third Party Source","","a0sWD00000XnsdwYAB","2023-03-19","Titled","","","","035d3b0c-0dd0-509d-8f7f-191464283657","true","Vessel",""
"a1lWD0000017KcZYAU","005al00000Q6IbCAAV","false","Real Estate-Hospitality","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42875581032868363"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42875581032868363"",""copyCollateralScreen"":""42875581032868363"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42875581032868363"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","670B7B","fff","custom/custom24","false","a0sWD00000XnsduYAB","false","","Appraisal;Internal Valuation;Third Party Source","","a0sWD00000Xnse0YAB","2023-03-19","Real Estate","","","","04a8d555-ea9f-5c46-aa94-14cd5653c972","true","Hospitality",""
"a1lWD0000017KcaYAE","005al00000Q6IbCAAV","false","Possessory-Savings","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42440767386795598"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42440767386795598"",""copyCollateralScreen"":""42440767386795598"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42440767386795598"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","85BE40","fff","custom/custom17","false","a0sWD00000XnsduYAB","false","","Account Balance / Statement;Third Party Source","","a0sWD00000XnseDYAR","2023-03-19","Possessory","","","","09aa3999-a7ae-5878-b224-dcd07db57c91","true","Savings",""
"a1lWD0000017KcbYAE","005al00000Q6IbCAAV","false","UCC-Specialized Equipment","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42966783217336788"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42966783217336788"",""copyCollateralScreen"":""42966783217336788"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42966783217336788"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","F1B643","fff","custom/custom18","false","a0sWD00000XnsduYAB","false","","Internal Valuation;Invoice / Bill of Sale;Third Party Source","","a0sWD00000Xnse6YAB","2023-03-19","UCC","","","","0bd163fa-a56d-51ab-a1e1-08b9d01aff82","true","Specialized Equipment",""
"a1lWD0000017KccYAE","005al00000Q6IbCAAV","false","Titled-Pleasure Boat","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42703575356168779"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42703575356168779"",""copyCollateralScreen"":""42703575356168779"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42703575356168779"",""addChildCollateralScreen"":""42363993400862416""}","","false","","LLC_BI__Manage_Collateral_Titled","","","Ba202E","fff","custom/custom31","false","a0sWD00000XnsduYAB","false","","Internal Valuation;Invoice / Bill of Sale;Third Party Source","","a0sWD00000Xnse2YAB","2023-03-19","Titled","","","","1421d982-d1aa-55d8-b9dd-85fd562cb583","true","Pleasure Boat",""
"a1lWD0000017KcdYAE","005al00000Q6IbCAAV","false","Possessory-Credit Life","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42394153288848601"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42394153288848601"",""copyCollateralScreen"":""42394153288848601"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42394153288848601"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","85BE40","fff","custom/custom17","false","a0sWD00000XnsduYAB","false","","Account Balance / Statement;Insurance Agent","","a0sWD00000XnseBYAR","2023-03-19","Possessory","","","","14a061be-683e-5cfe-bb02-89368eb4be9c","true","Credit Life",""
"a1lWD0000017KceYAE","005al00000Q6IbCAAV","false","UCC-Standing Timber","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42966783217336788"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42966783217336788"",""copyCollateralScreen"":""42966783217336788"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42966783217336788"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","F1B643","fff","custom/custom18","false","a0sWD00000XnsduYAB","false","","Internal Valuation;Invoice / Bill of Sale;Third Party Source","","a0sWD00000Xnse6YAB","2023-03-19","UCC","","","","14dd806a-651d-5d0f-8f47-f55c1f347f25","true","Standing Timber",""
"a1lWD0000017KcfYAE","005al00000Q6IbCAAV","false","Real Estate-Industrial","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42875581032868363"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42875581032868363"",""copyCollateralScreen"":""42875581032868363"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42875581032868363"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","670B7B","fff","custom/custom24","false","a0sWD00000XnsduYAB","false","","Appraisal;Internal Valuation;Third Party Source","","a0sWD00000Xnse0YAB","2023-03-19","Real Estate","","","","1602ca58-d70b-579f-bf01-699b9d747eb7","true","Industrial",""
"a1lWD0000017KcgYAE","005al00000Q6IbCAAV","false","Real Estate-Warehouse","2026-04-07T19:06:18.000Z","005al00000RVcKvAAL","2026-08-14T09:32:28.000Z","005al00000RVvFOAA1","2026-08-14T09:32:28.000Z","","","","80.0","true","","","{""prodPkgEditScreen"":""42875581032868363"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42875581032868363"",""copyCollateralScreen"":""42875581032868363"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42875581032868363"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","","670B7B","fff","custom/custom24","false","a0sWD00000XnsduYAB","false","","Appraisal;Internal Valuation;Third Party Source","","a0sWD00000Xnse0YAB","2023-03-19","Real Estate","","","","19bc6b55-4b0d-5fba-acaa-fc7d028ceb52","true","Warehouse",""
