"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Description__c","nFORCE__lookupKey__c"
"a0oWD00000GDaPtYAL","005al00000RVcKvAAL","false","DocMan","","","","132h4hk5123498yhfoin"
"a0oWD00000GDaQ0YAL","005al00000RVcKvAAL","false","Loan Policy Exception","","","The Loan Policy Exception context is used to group flows that pertain to policy exceptions being made on a loan","42188682125923658"
"a0oWD00000GDaPwYAL","005al00000RVcKvAAL","false","Loan Decisioning","","","The Loan Decisioning context is used to group flows that pertain to decisions being made on a loan","42455223340738733"
"a0oWD00000GDaPyYAL","005al00000RVcKvAAL","false","Filter Pricing Options by DTI","","","Filters the pricing options based on the current max DTI","42523683381155171"
"a0oWD00000GDaPuYAL","005al00000RVcKvAAL","false","Retrieve Pricing Options","","","Create the pricing option(s) based on information in the Loan.","42746958261630058"
"a0oWD00000GDaPmYAL","005al00000RVcKvAAL","false","Construction Loan Administration","","","The Contruction Loan Administration context is used to group flows related to CLA activities","4277770875596515"
"a0oWD00000GDaPvYAL","005al00000RVcKvAAL","false","Contruction Loan Administration","","","The Contruction Loan Administration context is used to group flows related to CLA activities","42826512048831054"
"a0oWD00000GDaPxYAL","005al00000RVcKvAAL","false","Credit Request","","","The Context for Credit Request Rules","42849460327380551"
"a0oWD00000GDaPnYAL","005al00000RVcKvAAL","false","Pricing Options","","","The Pricing Options context contains flows related to creating and managing pricing options during the loan origination process.","42887688779647590"
"a0oWD00000GDaPzYAL","005al00000RVcKvAAL","false","Proposed Pricing Option","","","Create the proposed pricing option based on information in the loan.","42938486352320978"
