"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GSgUNYA1","false","Loan Compliance","","","a0sWD00000Xo7ccYAB","false","false","false","false","","false","true","false","false","false","15.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","000008EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","","",""
"a0qWD00000GT9OMYA1","false","Loan","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000009C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GSgUOYA1","false","Loan Compliance","","","a0sWD00000Xo7d2YAB","false","false","false","false","","true","true","false","false","false","15.0","slide","true","false","false","false","","true","","","","","a16WD000005UIagYAG","MappedSObjectScreenResource","","","000009EB144842CD8828CFDD0550A649","LLC_BI__Loan_Compliance__c","","",""
"a0qWD00000GT9ONYA1","false","Entity Involvement","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000011C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9OOYA1","false","Fee","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000014C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9OPYA1","false","Collateral Pledged","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000017C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9OQYA1","false","Loan Covenant","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000020C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9ORYA1","false","Loan Team Member","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000023C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9OSYA1","false","Loan Pricing Information","","","a0sWD00000XoCHWYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000026C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Loan__c","","",""
"a0qWD00000GT9OTYA1","false","Deposit","","","a0sWD00000XoCHXYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","000030C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
"a0qWD00000GT9OUYA1","false","Entity Involvement","","","a0sWD00000XoCHXYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000032C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
"a0qWD00000GT9OVYA1","false","Analyzed Account","","","a0sWD00000XoCHXYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000035C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
"a0qWD00000GT9OWYA1","false","Beneficiary","","","a0sWD00000XoCHXYA3","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectHierarchyScreenResource","","","000038C4_2C2C_4944_8EBC_E365C3EC842C","LLC_BI__Deposit__c","","",""
"a0qWD00000GSgQpYAL","false","SBL Eligibility Business","","","a0sWD00000Xo7cxYAB","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","00201666029075344","Account","","",""
"a0qWD00000GTAAUYA5","false","Onboarding","","","a0sWD00000XoBkPYAV","false","false","false","false","","false","false","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","00241576590235161","LLC_BI__Treasury_Service__c","","",""
"a0qWD00000GTAAUYA5","false","Onboarding","","","","","","false","","","false","","","","","","","a0sWD00000XoBkPYAV","","MappedSObjectScreenResource","false","false","false","false","false","1.0","slide","true","false","LLC_BI__Treasury_Service__c","","00241576590235161","false","false","","","false","","false","","false"
